txt,polarity
"['An antibody (Ab), also known as an immunoglobulin (Ig), is a large Y-shaped protein produced by B-cells that is used by the immune system to identify and neutralize foreign objects such as bacteria and viruses .The antibody recognizes a unique part of the foreign target, called an antigen .Each tip of the ""Y"" of an antibody contains a paratope (a structure analogous to a lock) that is specific for one particular epitope (similarly analogous to a key) on an antigen, allowing these two structures to bind together with precision.Using this binding mechanism, an antibody can tag a microbe or an infected cell for attack by other parts of the immune system, or can neutralize its target directly (for example, by blocking a part of a microbe that is essential for its invasion and survival).']",0
"['The President of the United States of America (POTUS) is the head of state and head of government of the United States .The president leads the executive branch of the federal government and is the commander-in-chief of the United States Armed Forces .The president is further empowered to grant federal pardons and reprieves , and to convene and adjourn either or both houses of Congress under extraordinary circumstances.']",0
"[""Domestically, the administration favored reducing government programs and introduced the largest across-the-board tax cuts in American history.Victory in the Cold War led to a unipolar world with the U.S. as the world's sole superpower.Furthermore, says Henry, the consensus viewpoint agrees that he revived faith in the presidency and American self-confidence, and contributed critically to ending the Cold War .""]",0
"['The audit opinion is intended to provide reasonable assurance, but not absolute assurance, that the financial statements are presented fairly, in all material respects, and/or give a true and fair view in accordance with the financial reporting framework.The purpose of an audit is provide and objective independent examination of the financial statements, which increases the value and credibility of the financial statements produced by management, thus increase user confidence in the financial statement, reduce investor risk and consequently reduce the cost of capital of the preparer of the financial statements.Financial audits are typically performed by firms of practicing accountants who are experts in financial reporting.']",0
"['Vascular ischemia of the toes with characteristic cyanosis .In medicine , ischemia, also spelled as ischaemia or ischæmia, (; from Greek language ισχαιμία, ischaimía; isch- root denoting a restriction or thinning or to make or grow thin/lean, haema blood ) is a restriction in blood supply to tissues , causing a shortage of oxygen and glucose needed for cellular metabolism (to keep tissue alive).Ischemia is generally caused by problems with blood vessels , with resultant damage to or dysfunction of tissue.']",0
"['Good Friday is a religious holiday observed primarily by Christians commemorating the crucifixion of Jesus Christ and his death at Calvary .The holiday is observed during Holy Week as part of the Paschal Triduum on the Friday preceding Easter Sunday , and may coincide with the Jewish observance of Passover .It is also known as Holy Friday, Great Friday, Black Friday, or Easter Friday, though the latter properly refers to the Friday in Easter week .']",0
"['The data stored in the warehouse are uploaded from the operational systems (such as marketing, sales etc., shown in the figure to the right).The data may pass through an operational data store for additional operations before they are used in the DW for reporting.The access layer helps users retrieve data.']",0
"['The American middle class is a social class in the United States .Depending on class model used, the middle class may constitute anywhere from 25% to 66% of households.Constituting roughly 15% to 20% of households is the upper or professional middle class consisting of highly educated, salaried professionals and managers.']",0
"['Lack of access to water and a relatively dry rain season crippled the agricultural production of the colonists.A fleet from England, damaged by a hurricane, arrived months behind schedule with new colonists, but without expected food supplies.There is scientific evidence that the settlers at Jamestown had turned to cannibalism during the starving time.']",0
"['1 basis point = 1 permyriad = one one-hundredth percent1 bp = 1 = 0.01% = 0.1‰ = 10−4 = = 0.0001The relationship between percentage changes and basis points can be summarized as follows: 1 percentage point change = 100 basis points, and 0.01 percentage points = 1 basis point.']",0
"['Testosterone is a steroid hormone from the androgen group and is found in mammals, reptiles, birds, and other vertebrates .In mammals , testosterone is primarily secreted in the testicles of males and the ovaries of females , although small amounts are also secreted by the adrenal glands .In men, testosterone plays a key role in the development of male reproductive tissues such as the testis and prostate as well as promoting secondary sexual characteristics such as increased muscle , bone mass, and the growth of body hair .']",0
"['Life insurance is a contract between an insured (insurance policy holder) and an insurer , where the insurer promises to pay a designated beneficiary a sum of money (the ""benefits"") upon the death of the insured person.Depending on the contract, other events such as terminal illness or critical illness may also trigger payment.Protection policies – designed to provide a benefit in the event of specified event, typically a lump sum payment.']",0
"['Karma ( Sanskrit , also karman, Pāli : Kamma) means ""action"" or ""doing""; whatever one does, says, or thinks is a karma.In Buddhism , the term karma is used specifically for those actions which spring from the intention (Sanskrit: cetanā , Pali: cetana) of an unenlightened being.As one scholar states, ""the Buddhist theory of action and result (karmaphala) is fundamental to much of Buddhist doctrine, because it provides a coherent model of the functioning of the world and its beings, which in turn forms the doctrinal basis for the Buddhist explanations of the path of liberation from the world and its result, nirvāṇa .""']",0
"['Shiva () (literally ""seven"") is the week-long mourning period in Judaism for first-degree relatives: father , mother , son , daughter , brother , sister , and spouse .This state lasts for seven days, during which family members traditionally gather in one home (preferably the home of the deceased) and receive visitors.At the funeral, mourners traditionally rend an outer garment, a ritual known as keriah .']",0
"['Ethnicity or ethnic group is a socially defined category based on common culture or nationality .Ethnicity can, but does not have to, include common ancestry , appearance , cuisine , dressing style, heritage , history , language or dialect , religion , symbols , traditions , or other cultural factor.Ethnic identity is constantly reinforced through common characteristics which set the group apart from other groups.']",0
"[""Black Friday is the day following Thanksgiving Day in the United States , often regarded as the beginning of the Christmas shopping season.This was taken to a new extreme in 2011, when several retailers (including Target , Kohl's , Macy's , Best Buy , and Bealls ) opened at midnight for the first time.In 2012, Walmart and several other retailers announced that they would open most of their stores at 8:00 p.m. on Thanksgiving Day (except in states where opening on Thanksgiving is prohibited due to blue laws , such as Massachusetts where they still opened around midnight), prompting calls for a walkout among some workers.""]",0
"[""A season is a subdivision of the year , marked by changes in weather , ecology , and hours of daylight .Seasons result from the yearly revolution of the Earth around the Sun and the tilt of the Earth's axis relative to the plane of revolution.It is the tilt of the Earth that causes the Sun to be higher in the sky during the summer months which increases the solar flux .""]",0
"['The Myers-Briggs Type Indicator (MBTI) assessment is a psychometric questionnaire designed to measure psychological preferences in how people perceive the world and make decisions.The MBTI focuses on normal populations and emphasizes the value of naturally occurring differences.Robert Kaplan and Dennis Saccuzzo believe ""the underlying assumption of the MBTI is that we all have specific preferences in the way we construe our experiences, and these preferences underlie our interests, needs, values, and motivation"" (p. 499).']",0
"[""Black pepper (Piper nigrum) is a flowering vine in the family Piperaceae , cultivated for its fruit , which is usually dried and used as a spice and seasoning .Black pepper is native to south India , and is extensively cultivated there and elsewhere in tropical regions.Currently Vietnam is the world's largest producer and exporter of pepper, producing 34% of the world's Piper nigrum crop as of 2008.""]",0
"['Some tags are powered and read at short ranges (a few meters) via magnetic fields ( electromagnetic induction ).Others use a local power source such as a battery, or else have no battery but collect energy from the interrogating EM field, and then act as a passive transponder to emit microwaves or UHF radio waves (i.e., electromagnetic radiation at high frequencies).Battery powered tags may operate at hundreds of meters.']",0
"['Kanien\'kehá:ka (""People of the Place of Flint"") are an Iroquoian -speaking indigenous people of North America originally from the Mohawk Valley in upstate New York .Their current settlements include areas around Lake Ontario and the St Lawrence River in Canada .Their traditional homeland stretched southward of the Mohawk River , eastward to the Green Mountains of Vermont , westward to the border with the Oneida Nation \'s traditional homeland territory, and northward to the St Lawrence River.']",0
"['Lysergic acid diethylamide, abbreviated LSD or LSD-25, also known as lysergide ( INN ) and colloquially as acid, is a semisynthetic psychedelic drug of the ergoline family, well known for its psychological effects which can include altered thinking processes, closed and open eye visuals, synesthesia , an altered sense of time and spiritual experiences , as well as for its key role in 1960s counterculture .LSD is non-addictive, is not known to cause brain damage, and has extremely low toxicity relative to dose .However, adverse psychiatric reactions such as anxiety, paranoia, and delusions are possible.']",0
"['Other broad distinctions include those between positive economics (describing ""what is"") and normative economics (advocating ""what ought to be""); between economic theory and applied economics ; between rational and behavioral economics ; and between mainstream economics (more ""orthodox"" and dealing with the ""rationality-individualism-equilibrium nexus"") and heterodox economics (more ""radical"" and dealing with the ""institutions-history-social structure nexus"").Economic analysis may be applied throughout society, as in business , finance , health care , and government, but also to such diverse subjects as crime, education , the family , law , politics , religion , social institutions , war, and science .At the turn of the 21st century, the expanding domain of economics in the social sciences has been described as economic imperialism .']",0
"['Dim sum () refers to a style of Cantonese food prepared as small bite-sized or individual portions of food traditionally served in small steamer baskets or on small plates.Dim sum is also well known for the unique way it is served in some restaurants, wherein fully cooked and ready-to-serve dim sum dishes are carted around the restaurant for customers to choose their orders while seated at their tables.Eating dim sum at a restaurant is usually known in Cantonese as going to ""drink tea"" ( yum cha , 飲茶), as tea is typically served with dim sum.']",0
['This tablespoon has a capacity of about 15 mL.In the USA one tablespoon (measurement unit) is approximately 15 mL; the capacity of an actual tablespoon (dining utensil) ranges from 7 mL to 14 mL.In Australia one tablespoon (measurement unit) is 20 mL.'],0
"['The Declaration and Resolves of the First Continental Congress (also known as the Declaration of Colonial Rights, or the Declaration of Rights), was a statement adopted by the First Continental Congress on October 14, 1774, in response to the Intolerable Acts passed by the British Parliament .The Declaration outlined colonial objections to the Intolerable Acts, listed a colonial bill of rights , and provided a detailed list of grievances.It was similar to the Declaration of Rights and Grievances , passed by the Stamp Act Congress a decade earlier.']",0
"['A use tax in United States is complementary to sales tax which means, if you buy a Taxable product/services without paying any Sales tax to vendor, you owe use tax.Use tax is also termed as ""Consumption Tax"" or ""Consumer Use Tax"".A use tax is a type of excise tax levied in the United States by numerous state governments.']",0
"[""What It Takes is a power ballad by American hard rock band Aerosmith .It was released in 1990 as the third single from Aerosmith's critically and commercially successful 1989 album Pump .""]",0
"['The far-right (also known as the extreme right) refers to the highest degree of rightism in right-wing politics .Far right politics involves support of strong or complete social hierarchy in society, and supports supremacy of certain individuals or groups deemed to be innately superior or preferable who are to be more valued than those deemed to be innately inferior or undesirable.']",0
"[""Milk is a white liquid produced by the mammary glands of mammals .Early- lactation milk contains colostrum , which carries the mother's antibodies to the baby and can reduce the risk of many diseases in the baby.""]",0
"['In computer science , array programming languages (also known as vector or multidimensional languages) generalize operations on scalars to apply transparently to vectors , matrices , and higher dimensional arrays.Array programming primitives concisely express broad ideas about data manipulation.']",0
"['Malcolm X (; May 19, 1925February 21, 1965), born Malcolm Little and also known as El-Hajj Malik El-Shabazz (), was an African-American Muslim minister and human rights activist.In February 1965, less than a year after leaving the Nation of Islam, he was assassinated by three members of the group.']",0
['Heredity is the passing of traits to offspring from its parents or ancestor.This is the process by which an offspring cell or organism acquires or becomes predisposed to the characteristics of its parent cell or organism.'],0
"['Lean manufacturing, lean enterprise, or lean production, often simply, ""Lean,"" is a production practice that considers the expenditure of resources for any goal other than the creation of value for the end customer to be wasteful, and thus a target for elimination.Lean manufacturing is a management philosophy derived mostly from the Toyota Production System (TPS) (hence the term Toyotism is also prevalent) and identified as ""Lean"" only in the 1990s.']",0
"['Metformin ( BP , pronounced , ; originally sold as Glucophage) is an oral antidiabetic drug in the biguanide class.It is the first-line drug of choice for the treatment of type 2 diabetes , in particular, in overweight and obese people and those with normal kidney function.']",0
['The pressurization controls on a Boeing 737-800Cabin pressurization is used to create a safe and comfortable environment for aircraft passengers and crew flying at high altitude by pumping conditioned air into the cabin .'],0
"[""Afghan cuisine is largely based upon the nation's chief crops; cereals like wheat , maize , barley and rice .Accompanying these staples are dairy products ( yogurt and whey ), various nuts , and native vegetables, as well as fresh and dried fruits; Afghanistan is well known for its grapes .""]",0
"['It has a wide range of functions, including detoxification , protein synthesis , and production of biochemicals necessary for digestion .This organ plays a major role in metabolism and has a number of functions in the body, including glycogen storage, decomposition of red blood cells, plasma protein synthesis, hormone production, and detoxification.']",0
"['The tri-tip is a cut of beef from the bottom sirloin primal cut .It is a small triangular muscle , usually 1.5 to 2.5 lbs. (675 to 1,150g) per side of beef.']",0
"['Freedom Summer (also known as the Mississippi Summer Project) was a campaign in the United States launched in June 1964 to attempt to register as many African American voters as possible in Mississippi , which had historically excluded most blacks from voting.The project also set up dozens of Freedom Schools, Freedom Houses, and community centers in small towns throughout Mississippi to aid the local black population.']",0
"['Vitamin A has multiple functions, it is important for growth and development, for the maintenance of the immune system and good vision.Vitamin A is needed by the retina of the eye in the form of retinal , which combines with protein opsin to form rhodopsin the light-absorbing molecule , that is necessary for both low-light ( scotopic vision) and color vision .']",0
"['Thunder is the sound caused by lightning .In turn, this expansion of air creates a sonic shock wave, similar to a sonic boom , which produces the sound of thunder, often referred to as a clap, crack, or peal of thunder.']",0
"['Although geographically this includes Southern and part of Southeast ( São Paulo ) of Brazil , in terms of political geography the Southern cone has traditionally comprised Argentina , Chile , Paraguay , and Uruguay .In the narrowest sense, it only covers Argentina , Chile and Uruguay , bounded on the north by the states of Brazil, Paraguay, Bolivia and Peru, on the west by the Pacific Ocean, and south to the junction between the Pacific and Atlantic Oceans, which it is the closest continental area of Antarctica (1000 km).']",0
"[""Jehovah's Witnesses' beliefs are based on their interpretations of the Bible and they prefer to use their own translation, the New World Translation of the Holy Scriptures .They believe that the destruction of the present world system at Armageddon is imminent, and that the establishment of God's kingdom on earth is the only solution for all problems faced by mankind.""]",0
"['Turkey (), officially the Republic of Turkey , is a transcontinental country , located mostly on Anatolia in Western Asia and on East Thrace in Southeastern Europe .Turkey is bordered by eight countries: Bulgaria to the northwest; Greece to the west; Georgia to the northeast; Armenia , Iran and the Azerbaijani exclave of Nakhchivan to the east; and Iraq and Syria to the southeast.']",0
"['Propolis as hive sealingPropolis is a resinous mixture that honey bees collect from tree buds, sap flows, or other botanical sources.']",0
"['Judas is a song by American recording artist Lady Gaga , from her second studio album Born This Way (2011).It was released by Interscope Records on April 15, 2011, four days ahead of its scheduled release.']",0
"['The Lend Lease act was an act where the United States had supported its allies.Lend-Lease () was the law that started a program under which the United States of America supplied the United Kingdom , the USSR , Republic of China , Free France , and other Allied nations with materiel between 1941 and 1945.']",0
"[""Area code 217 is the North American telephone area code for much of western and central Illinois .The 217 area includes Illinois' capital , Springfield , plus Champaign , Urbana , Decatur , Danville , Quincy , and Rantoul .""]",0
"['There are 12 troy ounces per troy pound, rather than the 16 ounces per pound found in the more common avoirdupois system .The troy ounce is 480 grains, compared with the avoirdupois ounce, which is 4371⁄2 grains.']",0
"['Sodium hypochlorite is a chemical compound with the formula NaClO.Sodium hypochlorite solution, commonly known as bleach or liquid bleach, is frequently used as a disinfectant or a bleaching agent.']",0
"['Rough and Ready is a census-designated place in Nevada County, California , United States .It is located west of Grass Valley, California , approximately 62 miles (100 km) from Sacramento .']",0
"['The Family and Medical Leave Act of 1993 (FMLA) is a United States federal law requiring covered employers to provide employees job-protected and unpaid leave for qualified medical and family reasons.Qualified medical and family reasons include: personal or family illness, family military leave, pregnancy , adoption , or the foster care placement of a child.']",0
"['It uses an external power supply to make the DRAM non-volatile.A solid-state drive (SSD) (also known as a solid-state disk or electronic disk, though it contains no actual ""disk"" of any kind) is a data storage device using integrated circuit assemblies as memory to store data persistently .']",0
['Primary care may be provided in community health centres.Primary care is the health care given by a health care provider .'],0
"['Loxahatchee is a community located in Palm Beach County , Florida , United States .It is located in the areas north of Wellington and west and northwest of Royal Palm Beach, Florida and approximately west of West Palm Beach.']",0
"['The national flag of the United States of America , often simply referred to as the American flag, consists of thirteen equal horizontal stripes of red (top and bottom) alternating with white, with a blue rectangle in the canton (referred to specifically as the ""union"") bearing fifty small, white, five-pointed stars arranged in nine offset horizontal rows of six stars (top and bottom) alternating with rows of five stars.The 50 stars on the flag represent the 50 states of the United States of America and the 13 stripes represent the thirteen British colonies that declared independence from the Kingdom of Great Britain and became the first states in the Union.']",0
"['BASE jumping, also sometimes written as B.A.S.E. jumping, is an activity where participants jump from fixed objects and use a parachute to break their fall.BASE is an acronym that stands for four categories of fixed objects from which one can jump: buildings , antennas , spans ( bridges ), and earth ( cliffs ).']",0
"['Gringo (, , ) is a slang Spanish and Portuguese word used in Ibero-America , to denote foreigners, often from the United States .The term can be applied to someone who is actually a foreigner, or it can denote a strong association or assimilation into foreign (particularly US) society and culture.']",0
"['Dmitri Ivanovich Mendeleev (; 8 February 1834 – 2 February 1907 O.S. 27 January 1834 – 20 January 1907) was a Russian chemist and inventor.He formulated the Periodic Law, created his own version of the periodic table of elements , and used it to correct the properties of some already discovered elements and also to predict the properties of elements yet to be discovered!']",0
"['Cycles are uncommon in Major League Baseball (MLB), and have occurred 294 times since the first by Curry Foley in 1882.The cycle is roughly as common as a no-hitter (279 occurrences in MLB history); it has been called ""one of the rarest"" and ""most difficult feats"" in baseball.']",0
"['Osteonecrosis of the jaw (ONJ) is a severe bone disease that affects the maxilla and the mandible .Osteonecrosis of the jaws associated with bisphosphonate therapy, required by some cancer treatment regimens, has been identified and defined as a pathological entity since 2003.']",0
"['The fundamental theorem of calculus is a theorem that links the concept of the derivative of a function with the concept of the integral .The first part of the theorem, sometimes called the first fundamental theorem of calculus, shows that an indefinite integration can be reversed by a differentiation.']",0
"['There are approximately 642 skeletal muscles within the typical human, and almost every muscle constitutes one part of a pair of identical bilateral muscles, found on both sides, resulting in approximately 320 pairs of muscles, as presented in this article.Examples range from 640 to 850.']",0
"['The standard gold bar held as gold reserves by central banks and traded among bullion dealers is the 400-troy-ounce (12.4 kg or 438.9 ounces) Good Delivery gold bar.The kilobar, which is to say 1000 grams in mass, is the bar that is more manageable and is used extensively for trading and investment.']",0
"['Today it is the second largest religion in the country with results from the United Kingdom Census 2011 suggesting that by 2011 the total Muslim population had reached 2.7 million, 4.8% of the total population.The vast majority of Muslims in the United Kingdom live in England and Wales : of 1,591,000 Muslims recorded at the 2001 Census, 1,536,015 were living in England and Wales , where they formed 3% of the population in 2001; 42,557 were living in Scotland , forming 0.84% of the population; and 1,943 were living in Northern Ireland .']",0
"['The degree symbol (°) is a typographical symbol that is used, among other things, to represent degrees of arc (e.g. in geographic coordinate systems ), hours (in the medical field), or degrees of temperature .The symbol consists of a small raised circle, historically a zero glyph .']",0
"['Burgundy is a dark red color associated with the Burgundy wine of the same name, which in turn is named after the Burgundy region of France .The color burgundy is similar to other shades of dark red such as maroon .']",0
['The first color cinematography was by means of additive color systems such as the one patented in England by Edward Raymond Turner in 1899 and tested in 1902.A simplified additive system was developed by George Albert Smith and successfully commercialized in 1909 as Kinemacolor .'],0
"['The stadium seats 85,000, making it the third largest stadium in the NFL by seating capacity .The maximum capacity of the stadium, including standing room, is 105,000.']",0
"[""A notary public (or notary or public notary) in the common law world is a public officer constituted by law to serve the public in non-contentious matters usually concerned with estates, deeds, powers-of-attorney, and foreign and international business.A notary's main functions are to administer oaths and affirmations, take affidavits and statutory declarations , witness and authenticate the execution of certain classes of documents, take acknowledgments of deeds and other conveyances, protest notes and bills of exchange, provide notice of foreign drafts, prepare marine or ship's protests in cases of damage, provide exemplifications and notarial copies, and perform certain other official acts depending on the jurisdiction .""]",0
"['The main causes of World War II were nationalistic issues, unresolved issues, and resentments resulting from World War I and the interwar period in Europe, in addition to the effects of the Great Depression in the 1930s.The culmination of events that led to the outbreak of war are generally understood to be the 1939 invasion of Poland by Germany and Soviet Russia and the 1937 invasion of the Republic of China by the Empire of Japan .']",0
['The liver produces urea in the urea cycle as a waste product of the digestion of protein .Normal human adult blood should contain between 7 to 21 mg of urea nitrogen per 100 ml (7–21 mg/ dL ) of blood.'],0
"['With roots in blues rock and psychedelic rock , the bands that created heavy metal developed a thick, massive sound, characterized by highly amplified distortion , extended guitar solos, emphatic beats, and overall loudness.Heavy metal lyrics and performance styles are generally associated with masculinity and machismo .']",0
"['Written by John Lennon and Paul McCartney , and recorded in October 1963, it was the first Beatles record to be made using four-track equipment.With advance orders exceeding one million copies in the United Kingdom, ""I Want to Hold Your Hand"" would ordinarily have gone straight to the top of the British record charts on its day of release (29 November 1963) had it not been blocked by the group\'s first million seller "" She Loves You "", the Beatles\' previous UK single, which was having a resurgent spell in the top position following intense media coverage of the group.']",0
"['A premature ventricular contraction (PVC), also known as a premature ventricular complex, ventricular premature contraction (or complex or complexes) (VPC), ventricular premature beat (VPB), or ventricular extrasystole (VES), is a relatively common event where the heartbeat is initiated by Purkinje fibres in the ventricles rather than by the sinoatrial node , the normal heartbeat initiator.In a PVC, the ventricles contract first and before the atria have optimally filled the ventricles with blood, which means that circulation is inefficient.']",0
"['Early symptoms may include fever , headache , fatigue , depression , and a characteristic circular skin rash called erythema migrans (EM).Left untreated, later symptoms may involve the joints, heart, and central nervous system .']",0
"['The term was popularized (though not first used) by U.S. President Richard Nixon in a November 3, 1969, speech in which he said, ""And so tonight—to you, the great silent majority of my fellow Americans—I ask for your support.""In this usage it referred to those Americans who did not join in the large demonstrations against the Vietnam War at the time, who did not join in the counterculture , and who did not participate in public discourse.']",0
"['Triumph Engineering Co Ltd, a defunct British motorcycle manufacturerTriumph Motorcycles Ltd , a current British motorcycle manufacturer']",0
"['In poetry, a stanza is a unit within a larger poem.A stanza consists of a grouping of two or more lines , set off by a space, that usually has a set pattern of meter and rhyme.The stanza in poetry is analogous with the paragraph that is seen in prose , related thoughts are grouped into units.']",0
"['In finance , a bond is an instrument of indebtedness of the bond issuer to the holders.Bonds and stocks are both securities , but the major difference between the two is that (capital) stockholders have an equity stake in the company (i.e. they are owners), whereas bondholders have a creditor stake in the company (i.e. they are lenders).']",0
"['are American people of Japanese heritage .Japanese Americans have historically been among the three largest Asian American communities, but in recent decades, it has become the sixth largest group at roughly 1,304,286, including those of mixed-race or mixed-ethnicity.']",0
"['Doctor of Osteopathic Medicine (D.O. or DO) is a professional doctoral degree for physicians offered by medical schools in the United States .Holders of the D.O. degree are known as osteopathic physicians and have the same rights, privileges, and responsibilities as physicians with a Doctor of Medicine degree (M.D.).']",0
"['Pain and suffering is the legal term for the physical and emotional stress caused from an injury (see also pain and suffering ).Some damages that might be under this category would be: aches, temporary and permanent limitations on activity, potential shortening of life, depression or scarring .']",0
['It is a guarantee by the transferring financial institution that the signature is genuine and the financial institution accepts liability for any forgery.They also limit the liability of the transfer agent who accepts the certificates.'],0
"['Lobbying (also lobby) is the act of attempting to influence decisions made by officials in the government , most often legislators or members of regulatory agencies .Lobbying is done by many different types of people and organized groups, including individuals in the private sector , corporations , fellow legislators or government officials, or advocacy groups (interest groups).']",0
"['The seven gifts of the Holy Spirit is an enumeration of seven spiritual gifts originating with patristic authors, later elaborated by five intellectual virtues and four other groups of ethical characteristics.They are: wisdom, understanding, wonder and awe (fear of the Lord) , counsel, knowledge, fortitude, and piety (reverence).']",0
"['China has been the source of many inventions , including the Four Great Inventions : papermaking , the compass , gunpowder , and printing (both woodblock and movable type ).The Chinese invented technologies involving mechanics , hydraulics , and mathematics applied to horology , metallurgy , astronomy , agriculture , engineering , music theory , craftsmanship , nautics , and warfare .']",0
"['Deep Blue Sea is a 1999 science fiction horror film that stars Saffron Burrows , Thomas Jane , LL Cool J , Michael Rapaport , Stellan Skarsgård and Samuel L. Jackson .The film was directed by Renny Harlin and was released in the United States on July 28, 1999.']",0
"['A confectionery store (more commonly referred to as a sweet shop in the United Kingdom, a candy store in the North America, or a lolly shop in Australia) sells confectionery and is usually targeted to children.Most confectionery stores are filled with an assortment of sweets far larger than a grocer or convenience store could accommodate.']",0
"['Arthur Guyton \'s Textbook of Medical Physiology states that ""the total amount of water in a man of average weight (70 kilograms) is approximately 40 litres, averaging 57 percent of his total body weight.In a newborn infant, this may be as high as 75 percent of the body weight, but it progressively decreases from birth to old age, most of the decrease occurring during the first 10 years of life.']",0
